fold,person,best_epoch,stopped_epoch,test_mae,test_rmse,test_r2
1,P0,82,132,0.2541278600692749,0.323515921831131,0.1334347286780122
2,P1,18,68,0.14730532467365265,0.18857942521572113,-1.0696286606421523
3,P10,8,58,0.7689452171325684,0.9135550856590271,-0.0037945825742227157
4,P11,76,126,0.5947496891021729,0.7023516297340393,0.0024538952370898315
5,P12,7,57,0.5621006488800049,0.6725602746009827,-0.037322365184526696
6,P13,2,52,0.5163061022758484,0.6633896231651306,-0.05500309769951928
7,P14,1,51,0.7123317122459412,0.8602569103240967,-0.03311068064074418
8,P15,4,54,0.5518072843551636,0.7001586556434631,-0.0001806246944633383
9,P2,66,116,0.1602700650691986,0.20700927078723907,-0.11378219924196076
10,P3,97,147,0.14512141048908234,0.19306305050849915,0.18091500873513966
11,P4,17,67,0.4253632128238678,0.5698575973510742,-3.298253632830864
12,P5,162,212,0.18074660003185272,0.23499102890491486,0.18476539331798925
13,P6,107,157,0.19000154733657837,0.2366010993719101,0.3305308658267698
14,P7,67,117,0.16636206209659576,0.20151813328266144,0.19902130264609874
15,P8,63,113,0.23574668169021606,0.3191516101360321,0.04053170923105198
16,P9,9,59,0.38447636365890503,0.45872461795806885,-0.004482098207781782
