exercise,n,mae,rmse,r2,pcc
E0,152,0.3819018304347992,0.4720315635204315,0.6382110568268223,0.8090710584286029
E1,107,0.32368573546409607,0.44531333446502686,0.7110915288355895,0.8643668550893747
E2,86,0.4072316586971283,0.56740403175354,0.5364002996551741,0.8840720738670617
E3,106,0.8750817179679871,0.9736368656158447,-1.0851614567842467,0.339488544337471
E4,92,0.6311356425285339,0.6929750442504883,0.16044663772898282,0.8323953404955419
E5,106,0.3833773136138916,0.45831310749053955,0.3329050671726279,0.6753996881304873
E6,104,0.28979820013046265,0.41411373019218445,0.6000140739966431,0.8413389983871994
E7,106,0.3902767598628998,0.5048022866249084,0.11081978084221689,0.3595365785676568
E8,104,0.32085198163986206,0.5257192850112915,0.5701584939783179,0.8348922665085918
E9,59,0.18842054903507233,0.24227507412433624,-0.7465459175783522,-0.0979716157277716
